=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 516: 94.95%;
Accuracy on image num. 517: 79.03%;
Accuracy on image num. 518: 82.82%;
Accuracy on image num. 519: 90.29%;
Accuracy on image num. 520: 94.26%;
Accuracy on image num. 521: 97.48%;
Accuracy on image num. 522: 90.75%;
Accuracy on image num. 523: 89.99%;
Accuracy on image num. 524: 90.66%;
Accuracy on image num. 525: 90.21%;
Accuracy on image num. 526: 91.85%;
Accuracy on image num. 527: 94.33%;
Accuracy on image num. 528: 81.9%;
Accuracy on image num. 529: 87.93%;
Accuracy on image num. 530: 89.3%;
Accuracy on image num. 531: 93.65%;
Accuracy on image num. 532: 89.14%;
Accuracy on image num. 533: 91.02%;
Accuracy on image num. 534: 97.01%;
Accuracy on image num. 535: 92.47%;
Accuracy on image num. 536: 92.13%;
Accuracy on image num. 537: 93.7%;
Accuracy on image num. 538: 86.18%;
Accuracy on image num. 539: 94.4%;
Accuracy on image num. 540: 96.3%;
Accuracy on image num. 541: 96.61%;
Accuracy on image num. 542: 90.01%;
Accuracy on image num. 543: 91.16%;
Accuracy on image num. 544: 81.5%;
Accuracy on image num. 545: 91.54%;
Accuracy on image num. 546: 93.42%;
Accuracy on image num. 547: 93.52%;
Accuracy on image num. 548: 88.99%;
Accuracy on image num. 549: 90.69%;
Accuracy on image num. 550: 87.1%;
Accuracy on image num. 551: 88.46%;
Accuracy on image num. 552: 96.7%;
Accuracy on image num. 553: 76.3%;
Accuracy on image num. 554: 86.79%;
Accuracy on image num. 555: 83.17%;
Accuracy on image num. 556: 91.09%;
Accuracy on image num. 557: 96.13%;
Accuracy on image num. 558: 96.01%;
Accuracy on image num. 559: 92.62%;
Accuracy on image num. 560: 95.27%;
Accuracy on image num. 561: 91.26%;
Accuracy on image num. 562: 88.32%;
Accuracy on image num. 563: 90.92%;
Accuracy on image num. 564: 84.88%;
Accuracy on image num. 565: 90.23%;
Accuracy on image num. 566: 95.44%;
Accuracy on image num. 567: 90.78%;
Accuracy on image num. 568: 93.11%;
Accuracy on image num. 569: 58.24%;
Accuracy on image num. 570: 89.47%;
Accuracy on image num. 571: 91.69%;
Accuracy on image num. 572: 94.93%;
Accuracy on image num. 573: 78.89%;
Accuracy on image num. 574: 91.44%;
Accuracy on image num. 575: 95.57%;
Accuracy on image num. 576: 94.01%;
Accuracy on image num. 577: 90.33%;
Accuracy on image num. 578: 91.2%;
Accuracy on image num. 579: 92.92%;
Accuracy on image num. 580: 96.68%;
Accuracy on image num. 581: 90.33%;
Accuracy on image num. 582: 91.85%;
Accuracy on image num. 583: 79.52%;
Accuracy on image num. 584: 90.24%;
Accuracy on image num. 585: 85.16%;
Accuracy on image num. 586: 91.3%;
Accuracy on image num. 587: 85.17%;
Accuracy on image num. 588: 91.75%;
Accuracy on image num. 589: 91.98%;
Accuracy on image num. 590: 86.18%;
Accuracy on image num. 591: 97.14%;
Accuracy on image num. 592: 92.13%;
Accuracy on image num. 593: 91.22%;
Accuracy on image num. 594: 95.08%;
Accuracy on image num. 595: 90.42%;
Accuracy on image num. 596: 93.62%;
Accuracy on image num. 597: 92.63%;
Accuracy on image num. 598: 80.28%;
Accuracy on image num. 599: 90.65%;
Accuracy on image num. 600: 90.78%;
Accuracy on image num. 601: 91.87%;
Accuracy on image num. 602: 86.78%;
Accuracy on image num. 603: 94.48%;
Accuracy on image num. 604: 91.51%;
Accuracy on image num. 605: 85.63%;
Accuracy on image num. 606: 88.88%;
Accuracy on image num. 607: 83.96%;
Accuracy on image num. 608: 80.68%;
Accuracy on image num. 609: 93.91%;
Accuracy on image num. 610: 94.01%;
Accuracy on image num. 611: 93.02%;
Accuracy on image num. 612: 94.43%;
Accuracy on image num. 613: 79.77%;
Accuracy on image num. 614: 88.17%;
Accuracy on image num. 615: 67.58%;
Accuracy on image num. 616: 90.38%;
Accuracy on image num. 617: 97.88%;
Accuracy on image num. 618: 91.14%;
Accuracy on image num. 619: 89.02%;
Accuracy on image num. 620: 91.81%;
Accuracy on image num. 621: 93.75%;
Accuracy on image num. 622: 87.36%;
